Tank,MLI,Pitch,Roll,Reading,Qty
Left,2,-0.5,-0.5,80.0,2950.0
Left,2,-0.5,-0.5,100.0,3130.0
Left,2,-0.5,-0.5,120.0,3310.0
Left,2,-0.5,-0.5,140.0,3500.0
Left,2,-0.5,-0.5,160.0,3690.0
Left,2,-0.5,-0.5,180.0,3890.0
Left,2,-0.5,-0.5,200.0,4090.0
Left,2,-0.5,-0.5,220.0,4290.0
Left,2,-0.5,-0.5,240.0,4500.0
Left,2,-0.5,-0.5,260.0,4690.0
Left,2,-0.5,-0.5,280.0,4880.0
Left,2,-0.5,-0.5,300.0,5070.0
Left,2,-0.5,-0.5,320.0,5240.0
Left,2,-0.5,-0.5,340.0,5400.0
Left,2,-0.5,-0.5,348.0,7110.0
Left,2,-0.5,0.0,0.0,2400.0
Left,2,-0.5,0.0,20.0,2560.0
Left,2,-0.5,0.0,40.0,2720.0
Left,2,-0.5,0.0,60.0,2880.0
Left,2,-0.5,0.0,80.0,3050.0
Left,2,-0.5,0.0,100.0,3230.0
Left,2,-0.5,0.0,120.0,3410.0
Left,2,-0.5,0.0,140.0,3590.0
Left,2,-0.5,0.0,160.0,3780.0
Left,2,-0.5,0.0,180.0,3970.0
Left,2,-0.5,0.0,200.0,4160.0
Left,2,-0.5,0.0,220.0,4350.0
Left,2,-0.5,0.0,240.0,4540.0
Left,2,-0.5,0.0,260.0,4720.0
Left,2,-0.5,0.0,280.0,4890.0
Left,2,-0.5,0.0,300.0,5050.0
Left,2,-0.5,0.0,320.0,5200.0
Left,2,-0.5,0.0,340.0,5340.0
Left,2,-0.5,0.0,348.0,7110.0
Left,2,-0.5,0.5,0.0,2510.0
Left,2,-0.5,0.5,20.0,2660.0
Left,2,-0.5,0.5,40.0,2820.0
Left,2,-0.5,0.5,60.0,2990.0
Left,2,-0.5,0.5,80.0,3150.0
Left,2,-0.5,0.5,100.0,3330.0
Left,2,-0.5,0.5,120.0,3500.0
Left,2,-0.5,0.5,140.0,3680.0
Left,2,-0.5,0.5,160.0,3870.0
Left,2,-0.5,0.5,180.0,4050.0
Left,2,-0.5,0.5,200.0,4230.0
Left,2,-0.5,0.5,220.0,4400.0
Left,2,-0.5,0.5,240.0,4570.0
Left,2,-0.5,0.5,260.0,4730.0
Left,2,-0.5,0.5,280.0,4880.0
Left,2,-0.5,0.5,300.0,5020.0
Left,2,-0.5,0.5,320.0,5160.0
Left,2,-0.5,0.5,340.0,5290.0
Left,2,-0.5,0.5,348.0,7110.0
Left,2,-0.5,1.0,0.0,2610.0
Left,2,-0.5,1.0,20.0,2770.0
Left,2,-0.5,1.0,40.0,2930.0
Left,2,-0.5,1.0,60.0,3090.0
Left,2,-0.5,1.0,80.0,3260.0
Left,2,-0.5,1.0,100.0,3430.0
Left,2,-0.5,1.0,120.0,3600.0
Left,2,-0.5,1.0,140.0,3770.0
Left,2,-0.5,1.0,160.0,3950.0
Left,2,-0.5,1.0,180.0,4120.0
Left,2,-0.5,1.0,200.0,4290.0
Left,2,-0.5,1.0,220.0,4440.0
Left,2,-0.5,1.0,240.0,4590.0
Left,2,-0.5,1.0,260.0,4740.0
